Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Alternative Organism Name],Characteristics [GBIF Taxonomy],Characteristics [Open Tree Taxonomy],Characteristics [Specimen Description],Characteristics [Basis of Record],Characteristics [Voucher Specimen],Experimental Condition [Collector],Experimental Condition [Collection Date],Experimental Condition [Identified By],Characteristics [Geodetic Datum],Characteristics [Latitude],Characteristics [Longitude],Characteristics [Elevation],Characteristics [Coordinate Precision],Experimental Condition [Microscope],Experimental Condition [Microscope Instrument],Experimental Condition [Microscope Contrast Method],Experimental Condition [Microscope Magnification],Experimental Condition [Microscope Objective],Comment [Image File],Comment [Multi-Focus Image Fusion Stack],Comment [Image Stitching Stack],Comment [Image Description],Phenotype,Phenotype Term Name,Phenotype Term Accession
Riccia sorocarpa,IMG_1106-1155 Riccia sorocarpa stature ventral side (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature ventral side,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_1106-1155 Riccia sorocarpa stature ventral side (Laowa 5.0x),IMG_1106-1155 Riccia sorocarpa Habitus Oberseite (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1156-1205 Riccia sorocarpa stature ventral side (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature ventral side,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_1156-1205 Riccia sorocarpa stature ventral side (Laowa 5.0x),IMG_1156-1205 Riccia sorocarpa Habitus Oberseite (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1206-1255 Riccia sorocarpa stature ventral side (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature ventral side,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_1206-1255 Riccia sorocarpa stature ventral side (Laowa 5.0x),IMG_1206-1255 Riccia sorocarpa Habitus Oberseite (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1256-1295 Riccia sorocarpa stature dorsal side (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature dorsal side,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_1256-1295 Riccia sorocarpa stature dorsal side (Laowa 5.0x),IMG_1256-1295 Riccia sorocarpa Habitus Unterseite (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1296-1335 Riccia sorocarpa stature dorsal side (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature dorsal side,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_1296-1335 Riccia sorocarpa stature dorsal side (Laowa 5.0x),IMG_1296-1335 Riccia sorocarpa Habitus Unterseite (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1336-1375 Riccia sorocarpa stature dorsal side (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature dorsal side,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_1336-1375 Riccia sorocarpa stature dorsal side (Laowa 5.0x),IMG_1336-1375 Riccia sorocarpa Habitus Unterseite (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1376-1415 Riccia sorocarpa stature dorsal side (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature dorsal side,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_1376-1415 Riccia sorocarpa stature dorsal side (Laowa 5.0x),IMG_1376-1415 Riccia sorocarpa Habitus Unterseite (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1416-1455 Riccia sorocarpa stature dorsal side (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature dorsal side,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_1416-1455 Riccia sorocarpa stature dorsal side (Laowa 5.0x),IMG_1416-1455 Riccia sorocarpa Habitus Unterseite (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1458-1557 Riccia sorocarpa spores (40x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,spores,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_1458-1557 Riccia sorocarpa spores (40x),IMG_1458-1557 Riccia sorocarpa Sporen (40x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1558-1657 Riccia sorocarpa spores (40x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,spores,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_1558-1657 Riccia sorocarpa spores (40x),IMG_1558-1657 Riccia sorocarpa Sporen (40x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1658-1757 Riccia sorocarpa spores (40x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,spores,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_1658-1757 Riccia sorocarpa spores (40x),IMG_1658-1757 Riccia sorocarpa Sporen (40x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1758-1857 Riccia sorocarpa spores (40x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,spores,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_1758-1857 Riccia sorocarpa spores (40x),IMG_1758-1857 Riccia sorocarpa Sporen (40x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1858-1907 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_1858-1907 Riccia sorocarpa thallus cross section (10x),IMG_1858-1907 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1909-1958 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_1909-1958 Riccia sorocarpa thallus cross section (10x),IMG_1909-2008 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_1959-2008 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_1959-2008 Riccia sorocarpa thallus cross section (10x),IMG_1909-2008 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2009-2058 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_2009-2058 Riccia sorocarpa thallus cross section (10x),IMG_2009-2058 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2059-2108 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_2059-2108 Riccia sorocarpa thallus cross section (10x),IMG_2059-2108 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2112-2161 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_2112-2161 Riccia sorocarpa thallus cross section (10x),IMG_2112-2161 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2162-2211 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_2162-2211 Riccia sorocarpa thallus cross section (10x),IMG_2162-2261 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2212-2261 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_2212-2261 Riccia sorocarpa thallus cross section (10x),IMG_2162-2261 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2262-2311 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_2262-2311 Riccia sorocarpa thallus cross section (10x),IMG_2262-2361 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2312-2361 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_2312-2361 Riccia sorocarpa thallus cross section (10x),IMG_2262-2361 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2362-2411 Riccia sorocarpa thallus with subepidermal cells with thickened cell walls cross section (40x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus with subepidermal cells with thickened cell walls cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2362-2411 Riccia sorocarpa thallus with subepidermal cells with thickened cell walls cross section (40x),IMG_2362-2411 Riccia sorocarpa Thallus mit subepidermalen Zellen mit verdickten Zellwaenden Querschnitt (40x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2412-2511 Riccia sorocarpa thallus with subepidermal cells with thickened cell walls cross section (40x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus with subepidermal cells with thickened cell walls cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2412-2511 Riccia sorocarpa thallus with subepidermal cells with thickened cell walls cross section (40x),IMG_2412-2511 Riccia sorocarpa Thallus mit subepidermalen Zellen mit verdickten Zellwaenden Querschnitt (40x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2512-2611 Riccia sorocarpa thallus with subepidermal cells with thickened cell walls cross section (40x DIC).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus with subepidermal cells with thickened cell walls cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,DIC,40x,,Raw,IMG_2512-2611 Riccia sorocarpa thallus with subepidermal cells with thickened cell walls cross section (40x DIC),IMG_2512-2611 Riccia sorocarpa Thallus mit subepidermalen Zellen mit verdickten Zellwaenden Querschnitt (40x DIC),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2612-2711 Riccia sorocarpa thallus with subepidermal cells with thickened cell walls cross section (40x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus with subepidermal cells with thickened cell walls cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2612-2711 Riccia sorocarpa thallus with subepidermal cells with thickened cell walls cross section (40x),IMG_2612-2711 Riccia sorocarpa Thallus mit subepidermalen Zellen mit verdickten Zellwaenden Querschnitt (40x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2712-2811 Riccia sorocarpa thallus with epidermis anterior view (40x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus with epidermis anterior view,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2712-2811 Riccia sorocarpa thallus with epidermis anterior view (40x),IMG_2712-2811 Riccia sorocarpa Thallus mit Epidermis Aufsicht (40x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2812-2911 Riccia sorocarpa thallus with epidermis anterior view (40x DIC).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus with epidermis anterior view,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,DIC,40x,,Raw,IMG_2812-2911 Riccia sorocarpa thallus with epidermis anterior view (40x DIC),IMG_2812-2911 Riccia sorocarpa Thallus mit Epidermis Aufsicht (40x DIC),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_2912-3011 Riccia sorocarpa thallus with epidermis anterior view (40x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus with epidermis anterior view,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_2912-3011 Riccia sorocarpa thallus with epidermis anterior view (40x),IMG_2912-3011 Riccia sorocarpa Thallus mit Epidermis Aufsicht (40x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_3012-3111 Riccia sorocarpa thallus with epidermis anterior view (40x DIC).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus with epidermis anterior view,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,DIC,40x,,Raw,IMG_3012-3111 Riccia sorocarpa thallus with epidermis anterior view (40x DIC),IMG_3012-3111 Riccia sorocarpa Thallus mit Epidermis Aufsicht (40x DIC),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_3112-3161 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_3112-3161 Riccia sorocarpa thallus cross section (10x),IMG_3112-3161 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_3162-3211 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_3162-3211 Riccia sorocarpa thallus cross section (10x),IMG_3162-3211 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4002 Riccia sorocarpa voucher specimen.ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,voucher specimen,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,,,Raw,IMG_4002 Riccia sorocarpa voucher specimen,IMG_4002 Riccia sorocarpa Herbarbeleg (3),NCBI specimen voucher,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4006-4055 Riccia sorocarpa stature (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_4006-4055 Riccia sorocarpa stature (Laowa 5.0x),IMG_4006-4205 Riccia sorocarpa Habitus (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4056-4105 Riccia sorocarpa stature (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_4056-4105 Riccia sorocarpa stature (Laowa 5.0x),IMG_4006-4205 Riccia sorocarpa Habitus (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4106-4155 Riccia sorocarpa stature (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_4106-4155 Riccia sorocarpa stature (Laowa 5.0x),IMG_4006-4205 Riccia sorocarpa Habitus (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4156-4205 Riccia sorocarpa stature (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_4156-4205 Riccia sorocarpa stature (Laowa 5.0x),IMG_4006-4205 Riccia sorocarpa Habitus (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4206-4255 Riccia sorocarpa stature ventral side (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature ventral side,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_4206-4255 Riccia sorocarpa stature ventral side (Laowa 5.0x),IMG_4206-4255 Riccia sorocarpa Habitus Oberseite (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4256-4305 Riccia sorocarpa stature dorsal side (Laowa 5.0x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,stature dorsal side,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,Laowa 5.0x,,Raw,IMG_4256-4305 Riccia sorocarpa stature dorsal side (Laowa 5.0x),IMG_4256-4305 Riccia sorocarpa Habitus Unterseite (Laowa 5.0x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4306-4405 Riccia sorocarpa spores (40x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,spores,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_4306-4405 Riccia sorocarpa spores (40x),IMG_4306-4405 Riccia sorocarpa Sporen (40x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4406-4505 Riccia sorocarpa spores (40x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,spores,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_4406-4505 Riccia sorocarpa spores (40x),IMG_4406-4505 Riccia sorocarpa Sporen (40x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4506-4605 Riccia sorocarpa spores (40x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,spores,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,40x,,Raw,IMG_4506-4605 Riccia sorocarpa spores (40x),IMG_4506-4605 Riccia sorocarpa Sporen (40x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4606-4655 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_4606-4655 Riccia sorocarpa thallus cross section (10x),IMG_4606-4705 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4656-4705 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_4656-4705 Riccia sorocarpa thallus cross section (10x),IMG_4606-4705 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4706-4755 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_4706-4755 Riccia sorocarpa thallus cross section (10x),IMG_4706-4805 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4756-4805 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_4756-4805 Riccia sorocarpa thallus cross section (10x),IMG_4706-4805 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4806-4855 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_4806-4855 Riccia sorocarpa thallus cross section (10x),IMG_4806-4905 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4856-4905 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_4856-4905 Riccia sorocarpa thallus cross section (10x),IMG_4806-4905 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
Riccia sorocarpa,IMG_4906-4955 Riccia sorocarpa thallus cross section (10x).ome.tiff,Riccia sorocarpa,NCBI Taxon,NCBI_122646,Riccia sorocarpa Bisch.,GBIF:5286296,GBIF:5286296,thallus cross section,Preserved Specimen,Peters-2021-25,,,,,,,,,Microscopy Imaging,Zeiss Axio Scope.A1,,10x,,Raw,IMG_4906-4955 Riccia sorocarpa thallus cross section (10x),IMG_4906-4955 Riccia sorocarpa Thallus Querschnitt (10x),,round cell,round cell phenotype,CMPO_0000118
